mass, radius, density
1.1151113076952418e+29 66748005.81000005 9498141.486408167
1.1217168641105405e+29 66956586.81000005 9495120.676026963
1.1283386806615278e+29 67165167.81000005 9492091.720894625
1.1349767199569326e+29 67373748.81000005 9489054.631749628
1.1416309445288778e+29 67582329.81000005 9486009.419354603
1.1483013168326096e+29 67790910.81000005 9482956.09449626
1.1549877992475337e+29 67999491.81000005 9479894.667985309
1.161690354076855e+29 68208072.81000005 9476825.150656383
1.1684089435483203e+29 68416653.81000005 9473747.553367965
1.1751435298145793e+29 68625234.81000005 9470661.887002308
1.1818940749530485e+29 68833815.81000005 9467568.162465364
1.1886605409669707e+29 69042396.81000005 9464466.390686698
1.1954428897849862e+29 69250977.81000005 9461356.582619425
1.202241083262034e+29 69459558.81000005 9458238.749240112
1.209055083179284e+29 69668139.81000005 9455112.901548728
1.2158848512448807e+29 69876720.81000005 9451979.05056854
1.2227303490937845e+29 70085301.81000005 9448837.207346052
1.2295915382884708e+29 70293882.81000005 9445687.382950922
1.2364683803191544e+29 70502463.81000005 9442529.58847589
1.2433608366040379e+29 70711044.81000005 9439363.835036695
1.250268868489874e+29 70919625.81000005 9436190.13377199
1.257192437251876e+29 71128206.81000005 9433008.495843278
1.2641315040945502e+29 71336787.81000005 9429818.93243483
1.271086030151697e+29 71545368.81000005 9426621.454753604
1.2780559764868603e+29 71753949.81000005 9423416.074029163
1.285041304093553e+29 71962530.81000005 9420202.801513603
1.2920419738958202e+29 72171111.81000006 9416981.648481477
1.2990579467483512e+29 72379692.81000006 9413752.62622971
1.3060891834369306e+29 72588273.81000006 9410515.746077519
1.3131356446786404e+29 72796854.81000006 9407271.019366339
1.3201972911224007e+29 73005435.81000006 9404018.457459744
1.3272740833492172e+29 73214016.81000006 9400758.071743365
1.3343659818724065e+29 73422597.81000006 9397489.873624818
1.3414729471379792e+29 73631178.81000006 9394213.874533612
1.3485949395253147e+29 73839759.81000006 9390930.085921079
1.3557319193468468e+29 74048340.81000006 9387638.519260295
1.3628838468489861e+29 74256921.81000006 9384339.186045997
1.3700506822121209e+29 74465502.81000006 9381032.097794503
1.3772323855511117e+29 74674083.81000006 9377717.266043635
1.3844289169157198e+29 74882664.81000006 9374394.70235264
1.3916402362904717e+29 75091245.81000006 9371064.418302104
1.3988663035958301e+29 75299826.81000006 9367726.425493876
1.4061070786875637e+29 75508407.81000006 9364380.73555099
1.4133625213578278e+29 75716988.81000006 9361027.360117584
1.4206325913352318e+29 75925569.81000006 9357666.310858818
1.4279172482851321e+29 76134150.81000006 9354297.59946079
1.4352164518101275e+29 76342731.81000006 9350921.237630464
1.4425301614501717e+29 76551312.81000006 9347537.237095585
1.4498583366831812e+29 76759893.81000006 9344145.609604597
1.4572009369250807e+29 76968474.81000006 9340746.366926562
1.4645579215305906e+29 77177055.81000006 9337339.520851087
1.4719292497929802e+29 77385636.81000006 9333925.083188228
1.4793148809449899e+29 77594217.81000006 9330503.065768432
1.4867147741586519e+29 77802798.81000006 9327073.480442423
1.4941288885461905e+29 78011379.81000006 9323636.33908116
1.5015571831597295e+29 78219960.81000006 9320191.653575722
1.5089996169921928e+29 78428541.81000006 9316739.435837245
1.5164561489774621e+29 78637122.81000006 9313279.697796836
1.5239267379904222e+29 78845703.81000006 9309812.45140549
1.5314113428478837e+29 79054284.81000006 9306337.708634015
1.5389099223083806e+29 79262865.81000006 9302855.48147294
1.5464224350728687e+29 79471446.81000006 9299365.781932442
1.553948839784905e+29 79680027.81000006 9295868.622042257
1.5614890950310312e+29 79888608.81000006 9292364.01385161
