mass, radius, density
3.9914535689512e+32 8.4668854031451e+11 2.8367523119385e-01
4.0195560757784e+32 8.4764520441371e+11 3.3525912499099e-01
4.0499980760725e+32 8.4859033156137e+11 3.4974322265899e-01
4.0788816257011e+32 8.4955145250359e+11 3.3160666516834e-01
4.1092496144801e+32 8.5056199259071e+11 3.1491757952850e-01
4.1393748860752e+32 8.5163030680721e+11 3.0721332558277e-01
4.1673897895946e+32 8.5267398077675e+11 3.0316352624074e-01
4.1974751237850e+32 8.5372794657257e+11 2.9956909809623e-01
4.2277186284848e+32 8.5483657570614e+11 2.9386258188975e-01
4.2557608871528e+32 8.5592465914584e+11 2.8860980337285e-01
4.2853700426261e+32 8.5700638363366e+11 2.8952938393235e-01
4.3154274739088e+32 8.5811976524532e+11 2.9035101422043e-01
4.3455649464519e+32 8.5924684278915e+11 2.8608825743098e-01
4.3754923846573e+32 8.6038279955671e+11 2.8308288736151e-01
4.4034652118872e+32 8.6148349982697e+11 2.8165411521288e-01
4.4335156048747e+32 8.6259170659158e+11 2.7910500221752e-01
4.4633759724786e+32 8.6374113560743e+11 2.7759851118402e-01
4.4935067767349e+32 8.6489679157502e+11 2.7538375188802e-01
4.5238364777050e+32 8.6607679549970e+11 2.6902508462852e-01
4.5537307172741e+32 8.6727190540329e+11 2.6485257162591e-01
4.5833400273665e+32 8.6845381173355e+11 2.6709655362825e-01
4.6112678573678e+32 8.6958485849423e+11 2.6903269466339e-01
4.6411583899619e+32 8.7071544610272e+11 2.6844523921432e-01
4.6707529417078e+32 8.7187169154970e+11 2.7087116490946e-01
4.7006030178073e+32 8.7301305788208e+11 2.7364008375876e-01
4.7307688877005e+32 8.7416163626812e+11 2.7123505618057e-01
4.7603391247651e+32 8.7530654552351e+11 2.7140469662523e-01
4.7900128032620e+32 8.7642917128273e+11 2.7605329785644e-01
4.8200557355408e+32 8.7754769833735e+11 2.7633835993482e-01
4.8493776178625e+32 8.7864908921841e+11 2.8002181381730e-01
4.8802607149444e+32 8.7976345534117e+11 2.7625593130707e-01
4.9096719639890e+32 8.8089364342028e+11 2.7148634078707e-01
4.9395088426323e+32 8.8200190761120e+11 2.7607623422225e-01
4.9694267930556e+32 8.8310774417258e+11 2.7598663042789e-01
5.0011097114128e+32 8.8424251688288e+11 2.7716470544654e-01
5.0312125120653e+32 8.8537653672354e+11 2.7664706795188e-01
5.0612634632333e+32 8.8648637312613e+11 2.7290449385769e-01
5.0907002997964e+32 8.8758382387819e+11 2.7535788408193e-01
5.1207591714844e+32 8.8866911775075e+11 2.7769221941564e-01
5.1505677759900e+32 8.8975624746905e+11 2.7653526144941e-01
5.1827189334660e+32 8.9088480218439e+11 2.7468148764412e-01
5.2130723421830e+32 8.9203790548580e+11 2.6800672702021e-01
5.2424458615260e+32 8.9315024013334e+11 2.6832170490427e-01
5.2727649966210e+32 8.9425726651199e+11 2.6889747087277e-01
5.3049199884571e+32 8.9542597153539e+11 2.6257805687285e-01
5.3351199202697e+32 8.9661424073189e+11 2.5745555526797e-01
5.3650846558089e+32 8.9777737622174e+11 2.5391383350831e-01
5.3949924674820e+32 8.9894234706151e+11 2.5284697150420e-01
5.4268778762974e+32 9.0014506400862e+11 2.5241501238432e-01
5.4564413056968e+32 9.0133329752932e+11 2.5495149142426e-01
5.4878647970516e+32 9.0248869706603e+11 2.6129889337843e-01
5.5176546617038e+32 9.0362252993102e+11 2.6569391360801e-01
5.5472546062657e+32 9.0470405692804e+11 2.6887006541761e-01
5.5790946310869e+32 9.0580786729534e+11 2.7153578671283e-01
5.6090585827772e+32 9.0691158167358e+11 2.7090169682558e-01
5.6408186114888e+32 9.0801237934223e+11 2.7092966888460e-01
5.6706796223535e+32 9.0910685212023e+11 2.7188254926103e-01
5.7025829643123e+32 9.1019968852778e+11 2.7163146242353e-01
